Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred
0,404,7,4,1,4,5930.83,197.42,2.43,5.0,2,0.865,41.39,1.0
1,199,7,7,1,0,14285.36,237.24,2.3,7.5,4,0.592,40.92,1.0
2,18,5,4,1,2,11113.91,427.42,1.78,5.6,3,0.673,11.54,0.0
3,60,1,3,1,1,9180.55,170.66,3.2,0.8,2,0.832,53.13,1.0
4,363,1,8,0,2,2762.27,434.96,2.77,1.9,1,0.741,0.5,1.0
5,312,5,5,1,0,2761.92,44.98,4.06,2.2,3,0.869,2.16,1.0
6,227,6,0,1,3,1342.21,388.62,1.31,2.6,4,0.981,2.99,0.0
7,188,1,0,0,4,13059.55,423.93,3.32,5.7,1,0.558,1.25,1.0
8,443,2,5,0,4,9216.17,91.73,3.72,5.0,0,0.855,0.62,1.0
9,642,4,8,1,1,10767.05,215.74,3.71,2.0,4,0.615,25.17,1.0
10,175,2,6,1,2,798.48,83.58,4.12,0.7,3,0.707,0.5,0.0
11,689,3,4,0,0,14563.69,353.6,3.61,1.7,1,0.516,1.33,1.0
12,546,7,1,1,2,12570.42,268.14,4.26,9.8,1,0.568,19.6,1.0
13,134,4,3,2,3,3578.92,318.03,2.3,4.7,4,0.66,7.58,1.0
14,24,0,7,1,4,3136.46,99.05,2.86,8.7,4,0.671,9.4,1.0
15,208,0,5,1,2,3159.37,106.66,1.25,8.5,2,0.95,25.5,1.0
16,307,4,1,2,2,4911.51,21.71,1.22,5.1,0,0.871,3.76,0.0
17,323,6,1,0,4,8108.97,161.71,1.99,7.1,4,0.986,1.83,1.0
18,609,1,6,0,0,6763.2,280.31,1.53,1.9,1,0.8,0.5,0.0
19,729,1,2,1,1,4722.82,429.11,2.06,6.9,1,0.621,7.6,0.0
20,20,1,0,0,2,9371.87,333.8,1.78,2.7,3,0.664,0.5,0.0
21,659,6,0,1,4,2522.66,218.26,1.29,8.3,4,0.66,6.61,1.0
22,288,1,6,1,4,4736.1,476.61,4.2,0.8,3,0.663,4.54,1.0
23,416,1,7,0,2,5812.25,359.9,1.23,7.7,2,0.836,3.3,1.0
24,468,2,7,2,2,7113.01,465.15,3.63,1.0,0,0.765,4.29,0.0
25,642,6,8,0,1,11885.05,264.27,1.7,8.8,2,0.693,6.86,1.0
26,543,1,6,3,4,3395.27,130.19,4.21,3.0,1,0.575,9.09,0.0
27,309,7,6,1,1,7956.4,27.36,4.15,6.5,1,0.511,11.18,0.0
28,572,6,2,0,4,9090.01,363.32,3.36,4.9,4,0.609,2.04,1.0
29,688,0,8,0,4,1173.53,61.53,3.42,3.7,0,0.554,0.5,0.0
30,33,0,4,1,2,9309.4,152.08,1.22,6.5,4,0.893,25.79,0.0
31,28,7,5,0,0,2972.6,266.7,4.45,9.5,1,0.556,1.04,1.0
32,247,7,2,2,2,1443.25,282.64,4.1,0.4,4,0.862,2.5,1.0
33,464,6,0,1,0,14258.84,300.69,4.15,9.2,3,0.693,16.61,1.0
34,546,3,8,0,4,14501.66,83.96,3.38,6.1,3,0.537,1.62,0.0
35,97,4,0,2,0,12221.76,190.49,2.34,8.1,1,0.906,15.57,0.0
36,33,1,5,2,4,4916.9,308.98,4.15,3.8,2,0.79,27.96,1.0
37,272,2,3,1,4,1916.25,484.94,2.16,4.7,4,0.618,5.17,1.0
38,334,2,3,2,0,10421.38,364.09,3.06,8.7,3,0.947,10.49,1.0
39,93,7,1,1,2,6882.21,461.38,1.53,4.1,4,0.523,17.32,1.0
40,188,4,7,0,0,2269.55,381.34,4.24,5.3,1,0.601,0.5,1.0
41,207,1,0,1,1,7680.07,296.27,1.66,0.2,4,0.876,15.87,1.0
42,382,2,4,3,4,998.63,96.82,1.94,1.6,1,0.855,2.84,0.0
43,212,1,6,1,3,13685.15,333.68,3.04,6.4,1,0.645,18.12,0.0
44,377,2,6,3,4,4252.31,312.07,3.72,7.2,4,0.531,25.25,1.0
45,101,1,4,2,4,10106.57,301.63,3.24,5.8,3,0.929,9.76,1.0
46,702,6,3,2,0,5019.81,245.4,1.97,1.4,4,0.657,8.72,1.0
47,355,6,5,3,1,8040.99,264.8,1.2,4.5,3,0.598,16.27,1.0
48,128,4,3,3,2,8427.3,167.89,3.7,3.6,2,0.758,110.18,1.0
49,554,7,4,0,2,3180.39,260.14,4.45,5.0,2,0.955,1.85,1.0
50,661,2,0,1,3,14558.98,99.58,3.87,8.7,1,0.522,21.27,0.0
51,241,2,4,2,0,11739.43,402.78,2.72,7.8,3,0.883,11.65,0.0
52,380,3,1,2,2,14122.73,93.7,4.18,0.8,2,0.786,70.01,1.0
53,165,2,7,1,4,13475.0,43.4,2.55,8.9,2,0.713,107.82,1.0
54,649,6,6,2,0,9169.55,218.69,2.93,4.7,4,0.872,19.8,1.0
55,50,7,4,0,3,13867.18,329.5,2.77,7.4,3,0.983,1.65,1.0
56,423,5,5,1,2,1783.14,219.42,2.68,1.4,3,0.615,0.74,0.0
57,718,1,4,3,4,3341.75,139.1,3.76,6.7,4,0.572,18.83,0.0
58,392,5,7,2,4,1155.8,279.53,2.94,2.4,3,0.956,1.32,0.0
59,675,0,6,2,4,5217.29,174.15,2.25,4.4,1,0.834,5.57,0.0
60,280,6,0,3,1,6135.82,466.5,2.05,0.2,1,0.719,12.92,0.0
61,472,3,8,2,2,4434.56,461.4,1.32,1.5,2,0.787,23.3,1.0
62,155,4,3,2,0,12516.69,251.68,3.12,0.9,3,0.873,9.0,0.0
63,130,4,5,2,4,5672.92,164.61,1.96,2.4,4,0.887,11.04,0.0
64,456,6,6,1,4,4573.55,368.83,1.69,1.0,0,0.96,3.09,0.0
65,318,0,5,3,1,8369.09,19.32,3.36,6.9,4,0.713,47.52,1.0
66,46,4,8,0,0,2543.4,237.91,3.45,0.3,1,0.647,0.85,0.0
67,166,1,4,0,0,12131.86,168.83,3.68,6.2,0,0.82,0.5,0.0
68,323,4,7,3,0,1580.98,460.35,2.86,1.4,3,0.708,3.32,1.0
69,187,2,8,1,1,14809.86,6.99,4.15,9.5,1,0.797,23.13,0.0
70,382,6,0,3,4,11697.55,276.85,4.29,9.3,1,0.71,36.52,1.0
71,33,0,5,3,3,3381.38,370.59,3.86,2.3,3,0.576,6.46,0.0
72,577,7,3,3,4,580.07,243.02,3.3,6.1,2,0.735,8.4,1.0
73,400,6,4,1,2,12324.19,43.62,2.2,0.3,3,0.845,10.99,0.0
74,395,1,4,3,1,10749.43,486.26,4.44,9.3,4,0.9,66.01,1.0
75,250,1,2,1,0,11070.6,259.49,2.1,5.2,4,0.747,30.22,1.0
76,371,5,0,0,3,11683.42,307.48,1.87,0.4,3,0.583,1.23,0.0
77,113,1,5,3,1,1573.65,119.07,2.66,3.4,4,0.707,7.76,1.0
78,316,7,5,2,1,5697.75,242.27,1.39,0.8,1,0.893,4.7,0.0
79,436,7,0,0,3,2180.1,215.15,4.43,3.9,2,0.706,0.8,1.0
80,359,0,8,3,2,13015.0,38.37,3.14,6.7,4,0.848,71.68,1.0
81,451,5,7,3,2,5298.02,418.9,3.36,3.8,1,0.621,13.62,1.0
82,414,5,3,3,1,1421.6,120.67,2.84,1.2,3,0.898,2.51,0.0
83,157,5,2,1,2,5009.24,98.28,1.31,2.4,2,0.542,31.75,1.0
84,707,6,3,1,2,5215.16,252.95,3.22,1.0,0,0.762,3.97,1.0
85,400,0,2,1,0,11079.29,384.6,3.56,8.1,1,0.604,16.0,0.0
86,260,2,0,2,4,9744.58,31.91,2.58,1.4,0,0.534,6.24,0.0
