snapshot_date,country_code,product_name,model_number,currency,price_local,sale_price_local,gender_segment,size_label,category,subcategory,product_id,sku,base_model_number,brand_name,color_name,size_count,size_labels,available_size_count,availability,availability_units,availability_status,in_stock,discount_pct,rating,rating_count,badge_texts,product_url,canonical_url,image_url,best_for_ids,seen_market_count,seen_markets,market_record_source,size_record_source
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,104CM,,男童 ORIGINALS,KR3715,4068819292449,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,62CM,,男童 ORIGINALS,KR3715,4068819292463,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,68CM,,男童 ORIGINALS,KR3715,4068819292487,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,74CM,,男童 ORIGINALS,KR3715,4068819292548,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,80CM,,男童 ORIGINALS,KR3715,4068819292555,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,86CM,,男童 ORIGINALS,KR3715,4068819295716,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,92CM,,男童 ORIGINALS,KR3715,4068819292432,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3 STRIPE TEE 纯棉运动短袖T恤,DD608,CNY,169,169.0,男童,98CM,,男童 ORIGINALS,KR3715,4068819292531,,adidas,白/黑色,8,104CM | 62CM | 68CM | 74CM | 80CM | 86CM | 92CM | 98CM,8,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KR3715,https://www.adidas.com.cn/pdp?articleId=KR3715,https://static1.adidas.com.cn/t395/MTc3MDg5NTI2MjMzNWY1YTgxNmE2LWRlNjEtNDMzYi1hNGUx.jpg,[],1,CN,api,api_exact
2026-03-09,CN,3S JAQUARD LS 休闲文化提花亲肤宽松长袖球衣,NEC87,CNY,499,499.0,女子,2XS,,女子 ORIGINALS,KG3711,4068821533974,,adidas,汉玉白/黑色,6,2XS | XS | S | M | L | XL,6,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KG3711,https://www.adidas.com.cn/pdp?articleId=KG3711,https://static1.adidas.com.cn/t395/MTc2ODg4Nzg3MjU0NzJjNzUzMmVlLWI3ZjItNDZiMS1hZDll.jpeg,[],1,CN,api,api_exact
2026-03-09,CN,3S JAQUARD LS 休闲文化提花亲肤宽松长袖球衣,NEC87,CNY,499,499.0,女子,L,,女子 ORIGINALS,KG3711,4068821534483,,adidas,汉玉白/黑色,6,2XS | XS | S | M | L | XL,6,ON,true,AVAILABLE,true,0.0,,,新品,https://www.adidas.com.cn/pdp?articleId=KG3711,https://www.adidas.com.cn/pdp?articleId=KG3711,https://static1.adidas.com.cn/t395/MTc2ODg4Nzg3MjU0NzJjNzUzMmVlLWI3ZjItNDZiMS1hZDll.jpeg,[],1,CN,api,api_exact
