date,actual,predicted
2023-10-22,437.84,427.88828
2023-10-23,232.19,237.41125
2023-10-24,350.92,328.06174
2023-10-25,311.68,321.5105
2023-10-26,290.93,295.45276
2023-10-27,591.58,547.556
2023-10-28,454.93,439.18335
2023-10-29,470.95,478.54282
2023-10-30,223.2,205.7279
2023-10-31,323.17,308.33066
2023-11-01,342.92,340.30707
2023-11-02,323.08,326.88293
2023-11-03,317.67,326.2446
2023-11-04,561.1,537.35675
2023-11-05,420.64,418.8864
2023-11-06,282.3,287.39102
2023-11-07,237.5,235.50873
2023-11-08,387.84,383.1033
2023-11-09,427.53,431.6602
2023-11-10,388.63,362.68332
2023-11-11,642.76,644.67004
2023-11-12,304.67,331.2012
2023-11-13,339.3,334.76984
2023-11-14,293.35,289.89896
2023-11-15,383.42,401.8459
2023-11-16,433.0,409.86377
2023-11-17,432.84,447.8447
2023-11-18,450.23,455.04108
2023-11-19,424.1,402.60062
2023-11-20,249.85999999999999,273.6165
2023-11-21,225.61,230.67038
2023-11-22,365.55,347.638
2023-11-23,395.01,374.76462
2023-11-24,419.59999999999997,427.58157
2023-11-25,621.57,634.87616
2023-11-26,559.54,487.3707
2023-11-27,306.24,297.03674
2023-11-28,252.15,259.2321
2023-11-29,324.98,324.11462
2023-11-30,316.07,315.8245
2023-12-01,406.98,413.82956
2023-12-02,405.19,413.51212
2023-12-03,426.03,428.84982
2023-12-04,281.73,279.9186
2023-12-05,266.78,265.4772
2023-12-06,359.73,359.9459
2023-12-07,398.5,409.39386
2023-12-08,374.02,361.5732
2023-12-09,476.25,492.5582
2023-12-10,319.49,328.9405
2023-12-11,248.51,256.6967
2023-12-12,289.28,309.5882
2023-12-13,300.25,304.7938
2023-12-14,541.41,610.26605
2023-12-15,327.74,335.04468
2023-12-16,508.88,527.38763
2023-12-17,468.6,469.29895
2023-12-18,203.21,206.89516
2023-12-19,265.08,267.52393
2023-12-20,420.95,403.6733
2023-12-21,241.43,245.851
2023-12-22,383.48,365.75522
2023-12-23,453.63,490.83948
2023-12-24,523.87,485.13373
2023-12-25,765.98,661.8795
2023-12-26,506.45,512.877
2023-12-27,313.29,304.6702
2023-12-28,406.72,393.03012
2023-12-29,393.35,376.46674
2023-12-30,493.55,471.79718
2023-12-31,395.06,407.49545
