datetime_hour,actual,predicted
2023-10-22 17:00:00,3,3.1902835
2023-10-22 18:00:00,1,0.95907736
2023-10-22 19:00:00,1,1.0101407
2023-10-22 21:00:00,1,0.964514
2023-10-22 23:00:00,1,0.9684429
2023-10-23 02:00:00,1,0.906897
2023-10-23 04:00:00,1,0.88804674
2023-10-23 05:00:00,2,1.6087831
2023-10-23 06:00:00,2,1.7424053
2023-10-23 07:00:00,6,4.4165425
2023-10-23 08:00:00,4,4.417089
2023-10-23 09:00:00,2,1.9582179
2023-10-23 10:00:00,1,0.9949153
2023-10-23 11:00:00,2,2.1733415
2023-10-23 12:00:00,5,3.8764021
2023-10-23 14:00:00,7,5.168483
2023-10-23 15:00:00,3,2.9327886
2023-10-23 16:00:00,2,2.0863118
2023-10-23 18:00:00,1,1.0759871
2023-10-23 19:00:00,1,0.9377124
2023-10-23 21:00:00,1,0.90695196
2023-10-23 22:00:00,1,0.88442874
2023-10-23 23:00:00,1,0.8972154
2023-10-24 00:00:00,1,0.8461962
2023-10-24 01:00:00,2,1.586862
2023-10-24 06:00:00,5,5.250774
2023-10-24 07:00:00,5,5.3866487
2023-10-24 08:00:00,6,5.3466496
2023-10-24 09:00:00,2,2.2800577
2023-10-24 10:00:00,3,2.7114372
2023-10-24 11:00:00,2,1.8617165
2023-10-24 12:00:00,4,2.8937473
2023-10-24 13:00:00,1,2.5004773
2023-10-24 14:00:00,7,5.709868
2023-10-24 15:00:00,4,4.153993
2023-10-24 16:00:00,4,4.1348953
2023-10-24 17:00:00,3,3.2514076
2023-10-24 18:00:00,1,1.3473061
2023-10-24 19:00:00,1,1.7020296
2023-10-24 22:00:00,1,0.80320555
2023-10-25 00:00:00,3,2.72058
2023-10-25 01:00:00,1,1.6194364
2023-10-25 06:00:00,2,3.3847811
2023-10-25 07:00:00,7,6.834764
2023-10-25 08:00:00,3,3.2559726
2023-10-25 09:00:00,6,3.7434282
2023-10-25 10:00:00,2,1.8355473
2023-10-25 11:00:00,4,4.153557
2023-10-25 12:00:00,2,3.5057652
2023-10-25 13:00:00,2,2.5641704
2023-10-25 14:00:00,3,2.2500763
2023-10-25 15:00:00,1,1.091787
2023-10-25 16:00:00,1,1.2159898
2023-10-25 17:00:00,1,1.1999649
2023-10-25 18:00:00,2,2.2467139
2023-10-25 19:00:00,1,1.39048
2023-10-25 21:00:00,2,2.0577676
2023-10-26 06:00:00,3,2.9900768
2023-10-26 07:00:00,6,5.522607
2023-10-26 08:00:00,8,7.818743
2023-10-26 09:00:00,6,5.0204973
2023-10-26 10:00:00,1,1.3079522
2023-10-26 11:00:00,3,2.5207036
2023-10-26 12:00:00,3,3.3883772
2023-10-26 14:00:00,2,3.034424
2023-10-26 15:00:00,5,3.8504474
2023-10-26 16:00:00,5,5.134055
2023-10-26 17:00:00,2,2.586236
2023-10-26 19:00:00,2,1.6350479
2023-10-26 20:00:00,1,0.9771654
2023-10-26 22:00:00,1,0.99941117
2023-10-27 00:00:00,1,1.3146627
2023-10-27 01:00:00,1,1.0666411
2023-10-27 03:00:00,1,0.83132905
2023-10-27 04:00:00,1,1.2578261
2023-10-27 05:00:00,2,1.6722056
2023-10-27 06:00:00,2,2.0572965
2023-10-27 07:00:00,7,9.544717
2023-10-27 08:00:00,7,7.377685
2023-10-27 09:00:00,6,6.060475
2023-10-27 10:00:00,1,1.2877307
2023-10-27 11:00:00,12,9.304005
2023-10-27 12:00:00,1,1.3453474
2023-10-27 13:00:00,7,6.7560554
2023-10-27 14:00:00,3,3.3149312
2023-10-27 15:00:00,5,6.97747
2023-10-27 16:00:00,7,7.0463133
2023-10-27 17:00:00,3,3.8486466
2023-10-27 18:00:00,2,1.6271933
2023-10-27 20:00:00,1,0.9326928
2023-10-27 23:00:00,1,0.9047948
2023-10-28 00:00:00,2,1.8467323
2023-10-28 01:00:00,1,2.6938906
2023-10-28 02:00:00,1,1.0107468
