order_id,order_date,customer_age,product_category,order_value,discount_applied,payment_method,delivery_time_days,customer_rating,order_status
1.0,51,60.0,2,6455.58,1,1,6.0,1.6,2
2.0,335,64.0,1,22530.0,0,1,9.0,2.0,0
3.0,170,63.0,5,9673.54,1,3,3.0,4.4,0
4.0,290,31.0,4,20141.05,0,0,5.0,3.7,1
5.0,214,23.0,2,9275.31,0,3,5.0,2.1,2
6.0,172,52.0,1,21043.03,1,2,4.0,1.7,2
7.0,136,52.0,0,19170.1,0,0,4.0,3.6,2
8.0,185,43.0,4,21052.25,0,0,8.0,3.7,1
9.0,225,30.0,1,16145.88,0,2,3.0,4.5,2
10.0,21,37.0,0,2345.6,1,0,8.0,2.2,2
11.0,8,34.0,3,18051.97,0,1,6.0,1.8,2
12.0,333,21.0,2,8929.06,0,0,10.0,4.9,0
13.0,11,51.0,3,15042.11,0,1,10.0,2.6,1
14.0,134,35.0,0,7381.86,1,3,5.0,2.3,2
15.0,159,47.0,1,13843.9,0,2,5.0,2.2,0
16.0,123,30.0,1,490.52,1,2,10.0,1.6,1
17.0,245,32.0,2,6940.29,0,1,7.0,4.5,2
18.0,52,57.0,2,12438.89,1,2,3.0,4.1,0
19.0,16,44.0,2,3886.73,0,1,9.0,1.8,0
20.0,104,58.0,5,6647.04,1,0,10.0,3.7,0
21.0,254,54.0,5,4254.06,0,3,8.0,2.4,1
22.0,29,63.0,1,15495.75,0,0,6.0,3.9,2
23.0,361,41.0,3,11500.79,0,3,3.0,4.6,0
24.0,178,39.0,5,15277.06,0,2,9.0,3.4,1
25.0,273,24.0,2,1950.72,1,3,1.0,1.8,0
26.0,268,55.0,1,17008.82,0,3,10.0,4.9,2
27.0,243,40.0,5,11174.16,0,3,1.0,4.4,2
28.0,136,53.0,5,8731.61,1,0,3.0,4.8,2
29.0,11,60.0,1,22822.87,1,3,6.0,3.2,0
30.0,120,41.0,3,19398.43,1,2,10.0,5.0,2
31.0,298,29.0,2,6141.3,1,3,1.0,5.0,2
32.0,268,61.0,1,22570.69,1,3,4.0,1.4,2
33.0,284,25.0,3,12910.71,0,3,5.0,2.6,1
34.0,359,33.0,5,18263.91,1,2,6.0,2.7,2
35.0,131,47.0,4,23192.56,0,3,6.0,3.9,2
36.0,170,63.0,2,10097.61,0,2,7.0,4.3,1
37.0,7,55.0,1,1844.26,0,1,10.0,1.9,1
38.0,73,43.0,5,10508.86,1,2,6.0,5.0,0
39.0,59,55.0,3,6995.4,0,1,6.0,2.9,0
40.0,179,39.0,2,9658.0,1,2,6.0,1.2,2
41.0,243,27.0,0,4570.88,1,3,9.0,4.5,0
42.0,266,41.0,5,17575.03,1,3,1.0,4.5,0
43.0,147,37.0,1,5318.37,1,3,8.0,4.7,1
44.0,110,38.0,5,18294.85,0,0,2.0,1.9,0
45.0,87,62.0,0,18931.27,0,3,8.0,4.0,1
46.0,270,35.0,0,16224.63,1,3,2.0,4.1,1
47.0,139,55.0,1,1303.74,1,1,1.0,4.5,2
48.0,303,43.0,2,10939.21,1,0,5.0,2.6,0
49.0,224,40.0,2,16914.03,1,2,10.0,3.5,1
50.0,341,56.0,3,1253.16,0,2,7.0,4.0,1
51.0,128,51.0,2,17750.97,1,1,5.0,1.1,0
52.0,108,36.0,4,13669.68,1,2,3.0,2.3,2
53.0,76,39.0,5,8553.84,1,1,4.0,1.6,0
54.0,161,28.0,1,11960.47,0,3,2.0,3.4,2
55.0,96,21.0,4,15726.89,1,2,5.0,4.5,2
56.0,46,26.0,0,20047.81,0,0,3.0,3.5,2
57.0,357,46.0,3,23151.35,1,0,10.0,3.1,1
58.0,25,35.0,2,12789.12,1,1,7.0,2.3,1
59.0,241,48.0,4,12297.72,0,3,4.0,3.3,0
60.0,146,50.0,3,17616.16,0,3,7.0,3.9,2
61.0,101,20.0,4,24651.19,0,2,3.0,3.2,0
62.0,226,27.0,2,24914.59,0,1,7.0,4.5,1
63.0,235,56.0,2,23590.01,1,1,1.0,2.7,2
64.0,262,46.0,5,13309.86,1,3,8.0,1.9,1
65.0,110,30.0,2,21925.06,1,1,7.0,4.0,0
66.0,55,39.0,4,1722.58,1,1,6.0,1.9,2
67.0,45,53.0,3,9044.76,1,0,7.0,3.4,2
68.0,37,28.0,4,6682.37,0,3,6.0,1.5,2
69.0,302,19.0,1,12463.38,1,0,8.0,4.8,1
70.0,59,31.0,3,17035.56,1,2,2.0,3.2,0
71.0,193,42.0,4,2924.15,0,2,5.0,2.8,0
72.0,342,19.0,2,10818.18,1,1,1.0,1.1,2
73.0,125,20.0,0,12208.49,1,0,6.0,3.8,1
74.0,252,65.0,0,9720.5,0,1,4.0,1.6,0
75.0,200,49.0,4,19345.35,0,0,4.0,1.4,0
76.0,223,30.0,2,24570.56,1,1,5.0,1.5,0
77.0,10,49.0,5,9378.63,1,1,9.0,2.8,1
78.0,262,25.0,5,11162.49,1,3,2.0,2.1,0
79.0,307,44.0,1,4643.52,1,1,2.0,2.8,0
80.0,98,40.0,4,3627.73,1,3,4.0,2.2,1
81.0,39,38.0,5,13636.92,1,0,9.0,4.2,0
82.0,353,65.0,0,23898.25,1,1,5.0,2.4,0
83.0,45,28.0,3,23610.47,1,2,5.0,3.1,1
84.0,63,57.0,4,6214.82,1,3,10.0,3.7,0
85.0,61,62.0,4,18611.34,1,1,8.0,4.6,2
86.0,50,18.0,4,11775.92,0,3,3.0,4.0,2
87.0,119,39.0,3,24425.26,1,1,10.0,2.2,2
88.0,211,30.0,3,5303.22,1,3,5.0,1.7,0
89.0,88,43.0,3,23838.92,0,3,5.0,1.6,1
90.0,96,38.0,0,16524.54,0,2,6.0,3.0,0
91.0,10,32.0,5,4686.58,0,2,1.0,1.2,1
92.0,206,30.0,2,19581.21,0,1,9.0,3.1,2
93.0,347,48.0,0,5759.6,1,2,9.0,2.6,1
94.0,195,31.0,4,3509.0,0,3,2.0,1.8,2
95.0,294,45.0,0,18416.33,0,0,9.0,2.0,1
96.0,155,38.0,0,22365.0,0,3,10.0,3.1,2
97.0,8,63.0,2,10469.74,1,2,1.0,4.7,1
98.0,341,49.0,4,17904.46,1,0,10.0,1.9,0
99.0,321,33.0,5,6337.55,0,2,1.0,1.6,1
100.0,264,41.0,2,18611.18,0,2,8.0,3.9,1
101.0,18,31.0,2,3010.85,1,3,3.0,3.3,2
102.0,352,47.0,1,6786.24,0,0,4.0,1.3,1
103.0,164,51.0,2,20383.06,1,0,10.0,3.1,1
104.0,125,48.0,5,23542.63,1,3,6.0,2.2,1
105.0,45,39.0,3,14835.14,0,0,8.0,3.1,0
106.0,170,36.0,0,18781.73,0,2,4.0,2.8,1
107.0,95,27.0,2,15432.79,0,3,7.0,1.2,1
108.0,341,35.0,1,10957.92,1,0,8.0,1.8,2
109.0,70,50.0,1,10395.78,0,2,8.0,1.5,2
110.0,87,52.0,0,5808.98,1,3,6.0,1.6,2
111.0,66,60.0,5,15844.32,0,1,9.0,2.8,0
112.0,71,59.0,1,470.72,0,3,2.0,4.8,0
113.0,2,49.0,2,19016.93,1,3,2.0,3.7,0
114.0,114,51.0,3,9164.67,0,2,7.0,2.8,1
115.0,264,36.0,2,683.75,1,3,9.0,3.2,2
116.0,185,45.0,4,5775.27,1,0,8.0,3.1,1
117.0,256,24.0,3,9464.91,1,2,5.0,2.5,0
118.0,315,53.0,0,1546.33,0,2,2.0,2.5,0
119.0,89,25.0,4,14555.51,0,1,2.0,3.8,2
120.0,277,53.0,5,8600.12,1,1,7.0,4.6,2
121.0,118,30.0,4,21791.12,1,1,5.0,2.6,2
122.0,20,37.0,0,22120.79,1,0,1.0,3.1,1
123.0,316,44.0,1,14497.43,1,2,10.0,3.8,0
124.0,199,29.0,3,18010.3,1,1,10.0,4.3,0
125.0,320,55.0,2,20561.25,1,0,7.0,4.6,0
126.0,167,33.0,3,3892.03,0,0,7.0,2.5,0
127.0,58,21.0,4,3260.22,0,2,8.0,3.5,0
128.0,187,46.0,3,6154.92,1,0,5.0,4.8,0
129.0,151,45.0,4,9484.71,0,1,1.0,4.9,1
130.0,104,32.0,4,13953.91,0,2,5.0,4.5,1
131.0,299,20.0,4,4987.4,1,1,5.0,1.4,0
132.0,154,33.0,4,2452.56,1,0,6.0,1.3,0
133.0,210,30.0,2,24359.82,1,1,7.0,3.3,2
134.0,317,58.0,3,23971.74,1,1,10.0,3.8,1
135.0,52,58.0,2,23812.34,0,2,7.0,4.0,0
136.0,48,24.0,1,21822.83,1,1,10.0,1.5,1
137.0,110,44.0,5,18967.81,0,0,3.0,3.5,2
138.0,301,41.0,1,8076.43,0,2,8.0,4.8,2
139.0,311,52.0,5,22384.85,0,2,5.0,1.5,0
140.0,339,36.0,1,19961.75,0,1,2.0,1.6,2
141.0,32,57.0,3,16505.36,0,0,10.0,1.9,0
142.0,84,54.0,3,20809.28,0,2,8.0,3.1,1
143.0,151,42.0,4,6855.51,0,2,1.0,1.1,2
144.0,262,30.0,2,2410.72,1,1,6.0,2.2,2
145.0,16,24.0,4,15847.55,1,0,8.0,1.3,1
146.0,265,50.0,3,13372.6,1,1,4.0,3.5,0
147.0,57,43.0,4,24643.05,1,3,3.0,2.0,1
148.0,94,24.0,0,370.39,1,3,6.0,1.9,1
149.0,198,40.0,5,24702.37,0,3,10.0,2.1,2
150.0,143,40.0,3,24880.06,0,1,1.0,3.4,2
151.0,337,18.0,2,3294.4,1,3,3.0,3.6,2
152.0,171,48.0,0,2219.2,0,0,4.0,5.0,1
153.0,74,50.0,0,1485.2,0,2,3.0,4.9,0
154.0,176,65.0,2,11740.33,1,3,6.0,2.1,1
155.0,319,41.0,1,1091.21,0,2,3.0,4.0,0
156.0,303,28.0,0,8772.13,0,0,10.0,4.1,0
157.0,134,40.0,5,6498.57,0,2,7.0,2.3,2
158.0,110,47.0,3,21274.0,1,3,2.0,2.8,2
159.0,200,64.0,4,15745.92,1,3,6.0,2.2,1
160.0,0,61.0,1,7606.84,1,1,4.0,4.0,2
161.0,167,59.0,3,24838.27,0,2,1.0,1.2,2
162.0,110,41.0,3,6963.06,0,2,7.0,5.0,1
163.0,210,46.0,0,11821.98,1,1,2.0,4.6,1
164.0,327,25.0,2,7937.04,0,2,2.0,1.1,0
165.0,340,38.0,1,2842.32,1,2,4.0,3.7,2
166.0,98,41.0,4,19294.21,0,3,7.0,3.2,0
167.0,327,41.0,1,24624.19,1,1,4.0,2.0,0
168.0,91,44.0,3,7856.69,0,2,5.0,2.6,2
169.0,147,63.0,4,15281.18,0,0,7.0,2.7,1
170.0,89,57.0,1,5878.72,1,0,10.0,2.1,0
171.0,220,26.0,2,16330.36,0,1,8.0,4.8,2
172.0,355,46.0,3,2078.33,0,0,6.0,4.7,0
173.0,315,51.0,3,16410.93,1,2,1.0,4.1,2
174.0,18,23.0,0,22874.5,0,2,5.0,3.7,1
175.0,249,30.0,4,24877.17,1,3,8.0,3.1,2
176.0,12,39.0,5,24577.33,1,3,6.0,4.4,1
177.0,107,65.0,1,13335.92,1,2,1.0,3.6,2
178.0,14,41.0,0,3691.54,0,0,3.0,2.6,1
179.0,179,54.0,3,7751.78,1,2,10.0,1.5,2
180.0,212,47.0,0,13186.11,1,2,1.0,3.6,1
181.0,340,30.0,1,7778.04,1,2,6.0,2.3,2
182.0,205,52.0,4,8453.84,1,0,7.0,3.5,0
183.0,58,28.0,3,4004.73,1,2,9.0,1.7,1
184.0,111,30.0,4,7068.98,0,2,6.0,1.9,1
185.0,295,59.0,3,14537.54,1,0,6.0,2.7,0
186.0,264,56.0,1,16326.81,0,2,9.0,1.4,2
187.0,342,37.0,3,7507.47,0,2,1.0,5.0,0
188.0,56,39.0,4,8993.1,1,0,4.0,3.5,1
189.0,296,40.0,4,24208.97,1,0,5.0,1.9,0
190.0,304,33.0,5,16854.12,0,3,7.0,1.2,0
191.0,173,59.0,1,22128.35,0,0,9.0,4.0,1
192.0,256,36.0,1,1984.99,0,2,6.0,2.9,1
193.0,122,44.0,0,3390.16,0,2,8.0,2.9,2
194.0,325,23.0,4,18481.43,1,1,2.0,4.7,2
195.0,0,21.0,0,12308.39,0,0,4.0,3.6,2
196.0,143,35.0,3,12364.22,1,2,1.0,2.7,0
197.0,363,48.0,5,16659.44,0,1,5.0,3.6,2
198.0,322,57.0,2,19284.56,1,2,9.0,4.8,1
199.0,96,22.0,2,6795.73,1,2,3.0,2.3,1
200.0,280,28.0,5,21553.59,0,0,2.0,1.3,0
201.0,153,57.0,0,13612.34,0,3,8.0,2.9,2
